0   19.167    0.195703    3.15591   29.4    
1   25.4444   0.267455    4.31298   42.2    
2   27.012    0.311338    5.02064   42.2    
3   27.8772   0.340271    5.4872    42.2    
4   28.2876   0.358029    5.77357   42.2    
5   28.6282   0.370844    5.98024   46.8    
6   28.8702   0.393275    6.34195   46.8    
7   29.5278   0.389293    6.27774   46.8    
8   29.7194   0.393815    6.35066   46.8    
9   30.0146   0.404606    6.52468   46.8    
10  30.0908   0.423549    6.83014   46.8    
11  30.3012   0.429256    6.92218   48.6    
12  30.2122   0.452838    7.30246   48.6    
13  30.4296   0.437894    7.06148   48.6    
14  30.4294   0.457118    7.37148   48.6    
15  30.8686   0.43544     7.0219    48.6    
16  30.7998   0.465667    7.50935   48.6    
17  31.1554   0.454039    7.32183   51.8    
18  31.1726   0.469242    7.567     51.8    
19  30.8864   0.480547    7.7493    51.8    
20  31.2768   0.464497    7.49048   51.8    
21  31.0876   0.476145    7.67831   51.8    
22  31.2848   0.472488    7.61934   51.8    
23  31.5548   0.46844     7.55407   51.8    
24  31.598    0.468013    7.54718   51.8    
25  31.7726   0.464929    7.49745   51.8    
26  31.4986   0.475975    7.67558   51.8    
27  31.7012   0.475042    7.66052   51.8    
28  31.7342   0.468578    7.55629   51.8    
29  31.5294   0.489769    7.89801   51.8    
30  31.7664   0.471895    7.60977   51.8    
31  31.7348   0.485592    7.83066   51.8    
32  32.0184   0.476244    7.67991   51.8    
33  31.985    0.484161    7.80758   51.8    
34  31.792    0.50711     8.17766   51.8    
35  31.8208   0.494469    7.9738    51.8    
36  31.9448   0.494643    7.97661   51.8    
37  32.1802   0.492273    7.9384    51.8    
38  32.2058   0.491919    7.93269   51.8    
39  31.874    0.502644    8.10565   51.8    
40  32.1716   0.503551    8.12026   51.8    
41  32.3214   0.498171    8.03351   51.8    
42  31.9896   0.511643    8.25076   51.8    
43  32.2284   0.501722    8.09076   51.8    
44  32.6058   0.495136    7.98456   51.8    
45  32.1276   0.510732    8.23607   51.8    
46  32.4156   0.498925    8.04567   51.8    
47  32.0768   0.507067    8.17697   51.8    
48  32.4316   0.502944    8.11048   51.8    
49  32.6156   0.499818    8.06007   51.8    
50  32.486    0.492362    7.93984   51.8    
51  32.2434   0.515328    8.31018   51.8    
52  32.2964   0.514679    8.29971   51.8    
53  32.272    0.499752    8.05901   51.8    
54  32.2336   0.519587    8.37887   51.8    
55  32.4684   0.500824    8.07629   51.8    
56  32.3772   0.49398     7.96591   51.8    
57  32.9358   0.492236    7.93779   51.8    
58  32.5262   0.51434     8.29425   51.8    
59  32.6188   0.512707    8.26792   51.8    
60  32.648    0.517582    8.34652   51.8    
61  32.6164   0.507738    8.18778   51.8    
62  32.8578   0.503905    8.12597   51.8    
63  32.777    0.506917    8.17454   51.8    
64  32.8596   0.505425    8.15048   51.8    
65  32.6324   0.521364    8.40751   51.8    
66  32.2208   0.54444     8.77964   53.4    
67  32.864    0.519839    8.38293   53.4    
68  32.8786   0.526604    8.49202   53.4    
69  33.0432   0.515167    8.30759   53.4    
70  32.6882   0.52162     8.41165   53.4    
71  32.6352   0.539639    8.70222   53.4    
72  32.6582   0.536742    8.6555    53.4    
73  32.6628   0.532293    8.58375   53.4    
74  32.5866   0.52457     8.45922   53.4    
75  32.6746   0.51484     8.30232   53.4    
76  32.6272   0.521717    8.41321   53.4    
77  32.666    0.521547    8.41046   53.4    
78  33.0194   0.515032    8.3054    53.4    
79  32.955    0.519701    8.3807    53.4    
80  32.8868   0.517957    8.35257   53.4    
81  32.7908   0.524279    8.45452   53.4    
82  32.7764   0.525339    8.47162   53.4    
83  32.84     0.520873    8.3996    53.4    
84  33.0852   0.5273      8.50324   53.4    
85  32.965    0.525905    8.48074   53.4    
86  32.9604   0.514414    8.29544   53.4    
87  32.7572   0.530123    8.54876   53.4    
88  33.1152   0.518001    8.35328   53.4    
89  32.8592   0.535494    8.63538   53.4    
90  32.8574   0.53825     8.67981   53.4    
91  33.1494   0.526163    8.4849    53.4    
92  33.2604   0.524511    8.45826   53.4    
93  33.0914   0.530764    8.5591    53.4    
94  32.9374   0.539472    8.69953   53.4    
95  33.404    0.513563    8.28171   53.4    
96  33.1274   0.532469    8.5866    53.4    
97  33.1428   0.531834    8.57635   53.4    
98  32.801    0.560678    9.0415    53.4    
99  33.0592   0.539763    8.70422   53.4    
100 33.062    0.550599    8.87896   53.4    
