4; ./256ED ./ED256/ps6/ 1 0.01221 0.01963 0.38384 0.09418 0.00695 0.00673 0.03030 0.01730 0.42884
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.01221 0.01963 0.38384 0.09418 0.00695 0.00673 0.0303 0.0173 0.42884 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
0    0   8.8632    0.0331542   0.534645  10.8    
0    1   11.373    0.040392    0.651361  13.6    
0    2   14.0588   0.0482187   0.777575  17.4    
0    3   16.3402   0.0594272   0.958324  19.2    
0    4   17.8946   0.0744732   1.20095   21.6    
0    5   19.3122   0.0915509   1.47635   23.6    
0    6   20.9852   0.0939181   1.51452   24.8    
0    7   22.3996   0.102244    1.64878   26.6    
0    8   23.3008   0.113003    1.82228   26.6    
0    9   24.0438   0.111071    1.79112   27.4    
0    10  24.4822   0.121685    1.96229   29.4    
0    11  24.931    0.127697    2.05924   29.4    
0    12  25.5456   0.120693    1.9463    29.6    
0    13  25.8508   0.150419    2.42566   30.8    
0    14  26.653    0.141735    2.28561   31.2    
0    15  27.107    0.152708    2.46257   32.4    
0    16  27.6104   0.159676    2.57494   32.4    
0    17  28.1444   0.156784    2.52829   34      
0    18  28.8212   0.160209    2.58352   34      
0    19  29.6606   0.161261    2.6005    35.4    
0    20  30.2358   0.171025    2.75795   35.4    
0    21  30.6902   0.184937    2.98229   35.6    
0    22  31.5142   0.170316    2.74651   37.2    
0    23  31.7922   0.197426    3.18369   37.2    
0    24  32.0542   0.209078    3.3716    37.2    
0    25  32.5526   0.190334    3.06932   37.6    
0    26  32.6272   0.200051    3.22603   38.8    
0    27  32.8302   0.211305    3.40751   38.8    
0    28  33.1226   0.209779    3.38289   38.8    
0    29  33.3818   0.193724    3.12399   39      
0    30  33.4242   0.216429    3.49014   39      
0    31  33.5342   0.216911    3.4979    39      
0    32  33.63     0.212944    3.43393   39      
0    33  33.7972   0.217868    3.51334   40.6    
0    34  33.9058   0.220619    3.5577    40.6    
0    35  34.1186   0.21766     3.50998   40.6    
0    36  34.1066   0.227317    3.66572   40.6    
0    37  34.4826   0.210787    3.39916   40.6    
0    38  34.3722   0.239323    3.85932   40.6    
0    39  34.75     0.225531    3.63692   41.4    
0    40  34.946    0.230476    3.71665   41.4    
0    41  35.2338   0.237955    3.83726   41.8    
0    42  35.6354   0.235271    3.79398   44.6    
0    43  35.8656   0.251453    4.05493   44.6    
0    44  36.461    0.249835    4.02884   44.6    
0    45  37.007    0.246604    3.97674   44.6    
0    46  37.4252   0.234235    3.77727   45.2    
0    47  37.4066   0.273626    4.41249   45.2    
0    48  37.6682   0.272401    4.39274   45.2    
0    49  37.9696   0.276617    4.46073   45.4    
0    50  38.2662   0.267512    4.3139    45.4    
0    51  40.5988   0.281923    4.54629   51.2    
0    52  41.5176   0.311331    5.02053   53.4    
0    53  41.9478   0.312641    5.04165   53.4    
