2; ./128ED ./ED128/ps6/ 1 0.01221 0.01963 0.38384 0.09418 0.00695 0.00673 0.03030 0.01730 0.42884
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.01221 0.01963 0.38384 0.09418 0.00695 0.00673 0.0303 0.0173 0.42884 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
0    0   7.879     0.034989    0.564233  9.8     
0    1   10.192    0.0388143   0.62592   12.8    
0    2   12.5336   0.0538464   0.868327  16.2    
0    3   15.0606   0.0699905   1.12867   18.6    
0    4   16.9902   0.0875016   1.41105   24      
0    5   19.8434   0.122103    1.96904   26.6    
0    6   21.678    0.150078    2.42016   27.2    
0    7   22.835    0.181599    2.92847   33      
0    8   23.9362   0.197913    3.19155   33      
0    9   24.696    0.220931    3.56274   33      
0    10  25.1266   0.242177    3.90535   37.6    
0    11  26.0876   0.23659     3.81525   37.6    
0    12  26.7066   0.245788    3.96358   39.2    
0    13  27.0156   0.271167    4.37284   39.2    
0    14  27.8412   0.271461    4.37759   39.2    
0    15  28.3938   0.276081    4.45208   39.2    
0    16  28.8842   0.293876    4.73904   40      
0    17  29.6082   0.302612    4.87992   41.2    
0    18  30.6022   0.316089    5.09725   45.4    
0    19  32.8426   0.342792    5.52787   49.8    
0    20  35.4458   0.384185    6.19537   52.4    
0    21  37.2254   0.407018    6.56357   56      
0    22  38.2438   0.427732    6.89761   56      
0    23  39.0306   0.446948    7.20749   56      
0    24  39.1562   0.472801    7.62439   56      
0    25  39.7836   0.464521    7.49087   56      
0    26  39.5068   0.495816    7.99553   56      
0    27  40.201    0.480402    7.74697   56.2    
0    28  40.0076   0.504719    8.13911   58      
0    29  40.4302   0.502283    8.09982   58      
0    30  40.5962   0.51526     8.30909   58      
0    31  41.058    0.502569    8.10443   58.2    
0    32  40.836    0.520504    8.39364   58.2    
0    33  41.1882   0.513917    8.28743   58.2    
0    34  41.252    0.517503    8.34525   58.2    
0    35  41.088    0.523058    8.43484   58.2    
0    36  41.5448   0.522324    8.42299   58.4    
0    37  41.5754   0.520216    8.38901   58.4    
0    38  41.6878   0.532743    8.59102   58.4    
0    39  42.0412   0.529649    8.54111   58.4    
0    40  41.912    0.535652    8.63793   58.4    
0    41  41.8292   0.545532    8.79726   58.4    
0    42  42.3194   0.545993    8.80468   61      
0    43  42.4746   0.554196    8.93697   62.8    
0    44  42.4798   0.553056    8.91858   62.8    
0    45  42.6668   0.564847    9.10872   62.8    
0    46  42.9116   0.55438     8.93994   62.8    
0    47  42.679    0.565841    9.12476   62.8    
0    48  42.8638   0.561226    9.05032   62.8    
0    49  43.0652   0.564178    9.09793   62.8    
0    50  42.938    0.56937     9.18166   62.8    
0    51  43.2884   0.579744    9.34895   63.4    
0    52  43.4862   0.58674     9.46177   63.4    
0    53  43.0192   0.612452    9.87641   63.4    
0    54  43.4038   0.598741    9.6553    63.4    
0    55  43.715    0.595507    9.60315   66.8    
0    56  43.9618   0.592088    9.54801   66.8    
0    57  44.0828   0.612767    9.88148   66.8    
0    58  44.1158   0.604699    9.75138   66.8    
0    59  44.1546   0.609093    9.82223   66.8    
0    60  44.0894   0.621597    10.0239   66.8    
0    61  44.2734   0.611349    9.85862   66.8    
0    62  44.2368   0.62492     10.0775   66.8    
0    63  44.4266   0.617909    9.9644    66.8    
0    64  44.4898   0.618083    9.96721   66.8    
0    65  44.3652   0.638144    10.2907   66.8    
0    66  44.6912   0.623849    10.0602   66.8    
0    67  44.3938   0.642585    10.3623   66.8    
0    68  44.8044   0.633187    10.2108   66.8    
0    69  45.1704   0.618101    9.96749   66.8    
0    70  45.1922   0.621859    10.0281   66.8    
0    71  45.1802   0.62684     10.1084   66.8    
0    72  44.807    0.654416    10.5531   66.8    
0    73  45.3634   0.63758     10.2816   66.8    
0    74  45.5688   0.652005    10.5142   66.8    
0    75  45.572    0.650438    10.489    67.4    
0    76  45.6572   0.664147    10.71     67.4    
0    77  45.3522   0.6741      10.8705   67.4    
0    78  45.9864   0.672171    10.8394   67.4    
0    79  45.7454   0.688912    11.1094   68.6    
0    80  46.2166   0.675126    10.8871   68.6    
0    81  46.1412   0.71796     11.5778   68.6    
0    82  46.5026   0.704128    11.3548   68.6    
0    83  46.4134   0.715959    11.5456   68.8    
0    84  46.308    0.731614    11.798    68.8    
0    85  46.8726   0.731648    11.7986   69.2    
0    86  46.8978   0.735583    11.862    69.2    
0    87  47.2994   0.736938    11.8839   69.2    
0    88  48.029    0.718453    11.5858   69.2    
0    89  47.9188   0.742422    11.9723   69.2    
0    90  47.6722   0.779595    12.5718   70.4    
0    91  48.6926   0.750683    12.1055   70.4    
