7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
1    31  157.187   1.9803      31.9343   220.2   
1    32  158.167   1.98401     31.9941   220.2   
1    33  158.222   1.97167     31.7951   220.2   
1    34  157.612   2.00375     32.3125   220.2   
1    35  158.219   1.96666     31.7143   220.2   
1    36  158.554   1.98509     32.0116   220.2   
1    37  159.453   1.99409     32.1567   220.2   
1    38  158.916   2.02917     32.7223   220.2   
1    39  159.139   1.99899     32.2357   220.2   
1    40  158.986   2.00768     32.3759   220.2   
1    41  159.289   2.05976     33.2157   220.2   
1    42  159.786   2.00975     32.4092   220.2   
1    43  159.005   1.96222     31.6428   220.2   
1    44  160.205   1.95915     31.5933   220.2   
1    45  158.509   2.05056     33.0674   220.2   
1    46  159.973   1.99727     32.2079   220.2   
1    47  158.947   2.02975     32.7318   220.2   
1    48  158.993   2.02606     32.6722   225.6   
1    49  158.688   2.00913     32.3992   225.6   
1    50  159.29    2.03236     32.7739   225.6   
1    51  160.099   2.00172     32.2797   225.6   
1    52  159.912   2.03462     32.8103   225.6   
1    53  159.879   2.02622     32.6748   225.6   
1    54  160.086   2.01062     32.4233   225.6   
1    55  160.216   2.00674     32.3608   225.6   
1    56  159.119   2.04402     32.9619   225.6   
1    57  160.68    1.91982     30.9591   225.6   
1    58  159.842   2.02294     32.622    225.6   
1    59  160.032   2.01939     32.5647   225.6   
1    60  160.277   2.02052     32.5829   225.6   
1    61  159.074   2.07518     33.4643   225.6   
1    62  158.957   2.0861      33.6405   225.6   
1    63  160.373   2.02718     32.6903   225.6   
1    64  160.221   2.01738     32.5322   225.6   
1    65  159.819   2.0369      32.8471   225.6   
1    66  160.635   2.01566     32.5045   225.6   
1    67  160.433   2.02384     32.6365   225.6   
1    68  159.87    2.05046     33.0657   225.6   
1    69  160.738   1.97874     31.9092   225.6   
1    70  158.929   2.03985     32.8947   225.6   
1    71  160.631   2.06078     33.2322   225.6   
1    72  160.487   2.03118     32.7548   225.6   
1    73  159.926   2.03496     32.8158   225.6   
1    74  159.443   2.05499     33.1388   225.6   
1    75  159.693   2.05689     33.1694   225.6   
1    76  160.888   2.01277     32.458    225.6   
1    77  160.12    2.05522     33.1425   225.6   
1    78  159.733   2.07382     33.4424   225.6   
1    79  159.03    2.0597      33.2147   225.6   
1    80  159.527   2.08471     33.618    225.6   
1    81  159.248   2.11439     34.0967   225.6   
1    82  160.653   2.03155     32.7607   225.6   
1    83  160.051   2.0734      33.4356   229.4   
1    84  159.795   2.10113     33.8828   229.4   
1    85  160.385   2.06113     33.2377   229.4   
1    86  160.359   2.05391     33.1214   229.4   
1    87  158.853   2.11702     34.1391   229.4   
1    88  160.718   2.02582     32.6683   229.4   
1    89  159.953   2.06038     33.2256   229.4   
1    90  159.606   2.10106     33.8816   229.4   
1    91  159.11    2.13803     34.4779   229.4   
1    92  160.114   2.05193     33.0894   229.4   
1    93  160.44    2.05645     33.1624   229.4   
1    94  158.913   2.08961     33.6971   229.4   
